geoLat,geoLong,hasBlackBear,hasGrizzlyBear,hasPolarBear,parkCode,parkName,url
-119.08739032309173,37.61525639858674,True,False,False,DEPO,Devils Postpile National Monument,http://www.nps.gov/depo
-103.74399899921055,42.421472450669654,,,,AGFO,Agate Fossil Beds National Monument,
-116.27582196712781,45.79613895035158,,,,NEPE,Nez Perce National Historical Park,
-81.31217173403155,29.897857013631,,,,CASA,Castillo De San Marcos National Monument,
-93.12760188916005,44.91461205863678,True,False,False,MISS,Mississippi National River & Recreation Area,http://www.nps.gov/miss
-74.95693003838454,41.10033238731896,True,False,False,DEWA,Delaware Water Gap National Recreation Area,http://www.nps.gov/dewa
-84.66506686797332,36.534838847833456,True,False,False,BISO,Big South Fork National River & Recreation Area,http://www.nps.gov/biso
-122.02968997340061,38.05752521711916,,,,POCH,Port Chicago Naval Magazine National Memorial,
-77.07272691520815,38.88326787598615,,,,ARHO,Arlington House. The Robert  E. Lee Memorial,
-85.81868896360646,34.97104302969246,,,,RUCA,Russell Cave National Monument,
-80.21830159269447,25.469689246647114,,,,BISC,Biscayne National Park,
-81.45252498127859,30.858589807903808,,,,CUIS,Cumberland Island National Seashore,
-68.24411197733804,44.350751388328206,True,False,False,ACAD,Acadia National Park,http://www.nps.gov/acad
-83.6109676964351,32.8367676509253,,,,OCMU,Ocmulgee National Monument,
-94.43130218338237,35.38837828221602,,,,FOSM,Fort Smith National Historic Site,
-155.87871917864993,59.02764908262888,False,True,False,ALAG,Alagnak Wild River,http://www.nps.gov/alag
-135.25679581719572,59.67538299804817,True,True,False,KLGO,Klondike Gold Rush National Historical Park,http://www.nps.gov/klgo
-115.5570103212086,35.10066435137423,,,,MOJA,Mojave National Preserve,
-67.13350642097588,45.12879056602938,,,,SACR,Saint Croix Island International Historic Site,
-117.24147362061612,32.67243113084509,,,,CABR,Cabrillo National Monument,
-75.45557625662032,43.2105344060499,,,,FOST,Fort Stanwix National Monument,
-79.88296006189896,32.75437787513024,,,,FOSU,Fort Sumter National Monument,
-136.84071732838277,58.80086474447531,True,True,False,GLBA,Glacier Bay National Park & Preserve,http://www.nps.gov/glba
-99.70453743277493,35.62079259893231,,,,WABA,Washita Battlefield National Historic Site,
-96.32475522881614,44.013519580410964,,,,PIPE,Pipestone National Monument,
-110.24078388653147,31.350816813719984,True,False,False,CORO,Coronado National Memorial,http://www.nps.gov/coro
-103.70713508742655,41.83464192866749,,,,SCBL,Scotts Bluff National Monument,
144.6539892933081,13.39045706547521,,,,WAPA,War In The Pacific National Historical Park,
-122.13525870459277,42.94443605194011,True,False,False,CRLA,Crater Lake National Park,http://www.nps.gov/crla
-85.72305400404878,32.98200764156868,,,,HOBE,Horseshoe Bend National Military Park,
-103.42664991837817,38.03977546256919,,,,BEOL,Bent's Old Fort National Historic Site,
-73.11493130493012,40.656817817613984,,,,FIIS,Fire Island National Seashore,
-85.64442068791612,37.611975893121695,,,,ABLI,Abraham Lincoln Birthplace National Historical Park,
-77.1400968923483,38.96762881961648,,,,CLBA,Clara Barton National Historic Site,
-76.63422124246252,37.28808974044507,,,,COLO,Colonial National Historical Park,
-88.56933502381558,47.138999767529995,,,,KEWE,Keweenaw National Historical Park,
-97.14377094647499,25.95204582086439,,,,RIGR,Rio Grande Wild & Scenic River,
-91.19602595696949,37.14718713334885,True,False,False,OZAR,Ozark National Scenic Riverways,http://www.nps.gov/ozar
-113.71240971986805,42.06990240244938,,,,CIRO,City Of Rocks National Reserve,
-78.16731623763222,38.0238746449461,,,,GRSP,Green Springs,
-90.18595301180287,38.62254009262406,,,,JEFF,Jefferson National Expansion Memorial,
-76.79491878920412,39.101543051442995,,,,BAWA,Baltimore-Washington Parkway,
-105.57832630519154,37.759942701007226,True,False,False,GRSA,Great Sand Dunes National Park & Preserve,http://www.nps.gov/grsa
-83.77104780772574,35.53381126341195,True,False,False,GRSM,Great Smoky Mountains National Park,http://www.nps.gov/grsm
-142.79641659169639,65.09350238346386,True,True,False,YUCH,Yukon - Charley Rivers National Preserve,http://www.nps.gov/yuch
-77.35477462919117,37.23188607445225,True,False,False,PETE,Petersburg National Battlefield,http://www.nps.gov/pete
-121.28431920356763,48.652216100873474,,,,ROLA,Ross Lake National Recreation Area,
-82.01511067998587,34.14365552969331,,,,NISI,Ninety Six National Historic Site,
-89.64513396957298,39.79715642069349,,,,LIHO,Lincoln Home National Historic Site,
-73.9472712257268,40.82128019145335,,,,HAGR,Hamilton Grange National Memorial,
-77.05361153357251,38.71381953074352,,,,GWMP,George Washington Memorial Parkway,
-106.75778245199358,35.12318884610665,True,False,False,PETR,Petroglyph National Monument,http://www.nps.gov/petr
145.72035233007173,15.213133853329555,,,,AMME,American Memorial Park,
-123.40864092512629,42.095307455760924,True,False,False,ORCA,Oregon Caves National Monument,http://www.nps.gov/orca
-109.67471774572405,34.98868180401879,True,False,False,PEFO,Petrified Forest National Park,http://www.nps.gov/pefo
-76.94934274387278,38.912783049344085,,,,KEAQ,Kenilworth Park & Aquatic Gardens,
-89.10441847731086,47.900839582369585,,,,ISRO,Isle Royale National Park,
-86.13090198191068,37.197604576779035,,,,MACA,Mammoth Cave National Park,
-89.61375420545654,43.07682240928835,,,,IATR,Ice Age National Scenic Trail,
-122.55146603311029,37.862648681885084,True,False,False,GOGA,Golden Gate National Recreation Area,http://www.nps.gov/goga
-87.03241529098068,41.661457848148025,,,,INDU,Indiana Dunes National Lakeshore,
-77.4612213279279,39.64821331246887,True,False,False,CATO,Catoctin Mountain Park,http://www.nps.gov/cato
-75.14692521397585,39.9453737131525,,,,INDE,Independence National Historical Park,
